Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
WeatherstoneCrossing,2012,2,184950,184950,42,42,0.973933649,0.973933649
WeatherstoneCrossing,2013,3,199000,197933.3333,55,38.33333333,1,1
Wedgewood,2011,1,132600,132600,140,140,0.716756757,1.020785219
Wedgewood,2013,1,135000,135000,92,92,0.906648758,0.941422594
Westfield,2010,4,212000,207350,49,52.75,0.956188188,0.977040548
Westfield,2012,1,180000,180000,161,161,0.818553888,0.87804878
Westfield,2013,3,180000,172333.3333,54,102.3333333,0.972972973,0.972972973
Weston Village,2011,1,203000,203000,118,118,0.882992605,0.967127203
Weston Village,2013,1,195000,195000,23,23,0.951683748,0.951683748
Westwind Meadows,2010,5,134500,132380,144,160.6,0.95255745,0.972122945
Westwind Meadows,2011,1,116900,116900,350,350,0.91328125,0.974979149
Westwind Meadows,2012,1,118000,118000,15,15,0.991596639,0.991596639
Westwind Meadows,2013,2,117500,117500,22.5,22.5,0.904541955,0.904541955
Wheatleys Pond,2010,3,162000,181666.6667,90,95,0.983263598,0.983263598
Wheatleys Pond,2011,2,127000,127000,518,518,0.931730743,0.996246872
Wheatleys Pond,2012,4,118950,143225,277,288.25,0.99187554,0.992076731
Wheatleys Pond,2013,5,148780,134136,33,39,1,1
Whiteoak,2010,1,42000,42000,155,155,0.56,0.717948718
Whiteoak,2012,1,138000,138000,298,298,0.836363636,0.890897353
Whiteoak Farms,2010,7,147900,140985.7143,93,119.4285714,0.967914439,1
Whiteoak Farms,2011,3,130000,131833.3333,93,139.6666667,0.928571429,1
Whiteoak Farms,2012,2,105862.5,105862.5,210.5,210.5,0.793121702,0.870996901
Whiteoak Farms,2013,7,128000,126643.7143,105,100.5714286,0.909090909,0.914939242
Whitetail Run,2010,21,210400,218245.2381,14,35.42857143,1,1
Whitetail Run,2011,15,227412,221892.9333,1,43.73333333,1,1
Whitetail Run,2012,10,219696,218696.6,7,49.7,1.002694414,1.009219393
Whitetail Run,2013,7,228000,220876.8571,32,108.1428571,1,1
Wicksfield,2010,12,274620,274026.75,77,128.75,1.023735818,1
Wicksfield,2011,10,255747.5,260947.5,210.5,224.6,0.977494258,0.996007792
Wicksfield,2012,8,249450,254992,7.5,14.125,1,1
Wicksfield,2013,15,250451,250711.4,29,42.2,0.998618866,0.998618866
Wild Meadows,2010,1,95000,95000,162,162,0.826086957,0.826086957
Wild Meadows,2011,1,117000,117000,247,247,0.867309118,0.867309118
Wild Meadows,2012,6,72500,74000,363,379.5,0.793773333,0.904815514
Wild Meadows,2013,3,72000,73166.66667,88,225,0.869336143,0.971731449
Wild Quail,2010,3,440000,481666.6667,34,24,1,1
Wild Quail,2011,3,373900,379633.3333,127,519.3333333,0.879971758,0.935909435
Wild Quail,2012,6,394500,430500,312.5,310.6666667,0.8040625,0.911204482
Wild Quail,2013,5,450000,462600,48,77.8,0.952380952,0.952380952
Willow Grove,2010,1,167500,167500,8,8,0.957142857,0.957142857
Willowwood,2010,7,259119,268245.5714,126,115.8571429,0.929919185,0.970695971
Willowwood,2011,4,242000,239722.5,122.5,105,0.941241018,0.999825174
Willowwood,2012,9,245000,247956.1111,323,276.3333333,0.979157982,0.997331279
Willowwood,2013,11,262100,263532.8182,150,161.2727273,0.994607955,0.996577947
Wind Song Farms,2010,4,284500,271725,172.5,199,0.950316772,0.964813559
