Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Hartly,2011,2,46000,46000,159,159,0.578273836,0.64112261
Hartly,2012,2,158000,158000,51.5,51.5,0.922777292,0.961375126
Hartly,2013,3,185000,186666.6667,30,52,0.961538462,0.961538462
Haven Lake Ests,2013,1,330000,330000,369,369,0.825206302,0.892133009
Hazel Farm,2012,1,239990,239990,33,33,0.9599984,1
Hazel Farm,2013,3,260000,257494.6667,84,74.66666667,1.015283843,1.015283843
Hazelwood,2013,1,110000,110000,18,18,0.940975192,0.940975192
Hearthstone Manor,2013,1,139000,139000,73,73,0.945578231,1.02962963
Heatherfield,2010,2,156700,156700,113.5,113.5,0.90918983,0.965310928
Heatherfield,2011,7,140000,142857.1429,44,94.57142857,0.933333333,0.952380952
Heatherfield,2012,4,147500,148500,94.5,89.25,0.931765935,0.948268398
Heatherfield,2013,9,145000,142322.2222,91,157.3333333,0.955414013,0.967311541
Heatherfield East,2010,1,168000,168000,83,83,0.93385214,0.95184136
Heatherfield East,2011,2,135950,135950,160,160,0.882235559,0.977579891
Heatherfield East,2012,2,127500,127500,51,51,0.931239215,0.945553731
Heatherfield East,2013,2,166500,166500,177.5,177.5,1.024096043,0.963127017
Heritage Trace,2010,7,257500,266200,154,116,0.903571429,1
Heritage Trace,2011,8,262480,263338.375,124,161,0.908739784,0.98600096
Heritage Trace,2012,6,272250,263083.3333,168.5,183.8333333,0.917899633,0.96824228
Heritage Trace,2013,5,267000,270780,187,148.4,0.922140061,0.995128714
Hickman,2011,2,80500,80500,134.5,134.5,0.6370088,0.680005431
Hickory Dale Acres,2010,1,212000,212000,250,250,0.942222222,0.942222222
Hickory Dale Acres,2012,1,180000,180000,162,162,0.782949108,0.97826087
Hickory Dale Acres,2013,1,185000,185000,588,588,0.822222222,0.885167464
Hickory Dale West,2010,2,211000,211000,146,146,0.927702438,0.938065288
Hickory Dale West,2011,3,157000,172333.3333,14,73.33333333,0.97665555,1
Hickory Dale West,2012,1,149900,149900,7,7,1,1
Hickory Dale West,2013,3,135000,148000,316,350.6666667,0.942857143,1
Hickory Hill,2012,1,167000,167000,85,85,0.954285714,0.954285714
Hickory Hollow,2010,2,236394.5,236394.5,13.5,13.5,1.050897835,1.050897835
Hickory Hollow,2011,3,262000,275666.6667,169,190.6666667,0.953125,0.953125
Hickory Hollow,2012,5,259990,265596,229,293.8,0.8495216,1
Hickory Hollow,2013,3,244000,231966.6667,22,42.33333333,0.957238133,0.987951807
Hidden Acres,2010,1,251000,251000,306,306,0.929974064,0.947527369
Hidden Acres,2011,3,220000,172833.3333,30,81,0.978212539,0.978212539
Hidden Acres,2012,3,165000,152899.3333,72,127.6666667,0.919965202,0.971159506
Hidden Acres,2013,7,228000,211285.7143,27,56,0.953133228,0.991935484
Hidden Creek,2010,2,222450,222450,43.5,43.5,0.976309253,1.013824885
Hidden Creek,2011,5,219000,214300,16,31.8,0.975487744,0.979743696
Hidden Creek,2013,1,235000,235000,56,56,0.94037615,0.959183673
Hidden Oaks,2010,2,230000,230000,13,13,0.980018265,0.980018265
Hidden Oaks,2011,2,220000,220000,60.5,60.5,0.891944502,0.935580866
Hidden Oaks,2012,2,228500,228500,27,27,0.993013187,0.993013187
Hidden Pond,2010,8,211000,204657,71.5,66.75,0.954308433,1
Hidden Pond,2011,8,214000,205087.5,135,126.25,0.977210813,1.002222222
Hidden Pond,2012,11,190000,184081.4545,143,172,0.94972067,0.99009901
Hidden Pond,2013,2,227950,227950,170,170,0.977876106,0.995412844
Hideaway Acres,2010,2,230500,230500,122.5,122.5,0.971698113,1
Hideaway Acres,2011,2,145000,145000,271.5,271.5,0.795276655,0.85814821
Hideaway Acres,2012,1,163500,163500,139,139,0.934285714,1.022514071
Highland Acres,2011,1,90000,90000,98,98,0.666666667,0.900900901
Highland Acres,2012,2,198000,198000,102.5,102.5,1.01139522,0.997566252
Highland Acres,2013,1,162000,162000,8,8,0.981818182,0.981818182
Hilldale,2010,1,92500,92500,58,58,0.74,0.925
Hillside Acres,2011,2,128500,128500,38,38,0.980976786,0.980976786
Hoars Addition,2013,1,133000,133000,106,106,1,1
Holly Terrace,2013,1,142500,142500,28,28,0.950633756,0.950633756
Hollywood Acres,2010,1,170000,170000,29,29,0.944969427,0.944969427
Hollywood Acres,2012,1,288000,288000,161,161,0.929032258,0.963210702
Hollywood Acres,2013,1,189000,189000,71,71,0.947368421,0.947368421
Honey Brook Farms,2010,1,129000,129000,41,41,0.832795352,0.922087205
Honey Brook Farms,2011,1,148000,148000,17,17,0.933753943,0.933753943
Honey Brook Farms,2012,3,132000,129833.3333,25,68,0.917278185,0.923076923
Honey Brook Farms,2013,2,157500,157500,7.5,7.5,0.991024778,0.991024778
Houston,2011,2,300000,300000,310,310,0.888565782,0.908695652
Houston,2012,1,80000,80000,54,54,0.842992624,0.942285041
Hudson Trails,2010,1,191000,191000,318,318,0.974489796,0.974489796
Hummingbird Hills,2010,1,160000,160000,96,96,0.914808462,0.94173043
Hummingbird Hills,2012,1,170000,170000,48,48,1.000588582,1.000588582
Hummingbird Hills,2013,1,180000,180000,12,12,1,1
Hunters Pointe,2010,2,277450,277450,18,18,0.979300244,0.979300244
Hunters Pointe,2011,1,300000,300000,62,62,0.953137411,0.970873786
Hunters Pointe,2013,2,343500,343500,201,201,0.944243261,0.961711034
Hunters Ridge,2010,4,273500,270500,122,208,0.912359179,0.977915429
Hunters Ridge,2012,4,262000,260000,17,19.5,0.998268565,0.998268565
Hunters Ridge,2013,3,270000,259966.6667,13,14.66666667,0.958333333,0.958333333
Hunters Run,2011,1,320000,320000,119,119,0.969990906,0.969990906
Hunters Run,2013,1,345000,345000,31,31,0.932684509,0.932684509
Hunter's Run,2012,1,295000,295000,106,106,0.92476489,0.92476489
Huntfield,2011,1,223000,223000,44,44,0.949340145,0.969986951
Huntfield,2013,3,230000,229333.3333,74,115.3333333,0.91372549,0.975262261
Huntington Mills,2010,6,242450,236400,118.5,163.6666667,0.933349503,0.966717968
Huntington Mills,2011,4,216950,227100,14.5,23.5,0.976434524,0.976434524
Huntington Mills,2012,6,198200,201396.6667,68.5,79.5,0.973617124,0.991266376
Huntington Mills,2013,2,202000,202000,91,91,1.0125,1.025641026
Huntley,2011,1,176000,176000,192,192,0.858536585,0.953929539
Huntley,2013,1,129500,129500,373,373,0.836023241,1
Independence Vil,2010,3,161000,146100,250,253.3333333,0.868351764,1
Independence Vil,2011,2,118800,118800,83,83,0.808033754,0.970711236
Independence Vil,2013,3,150000,149966.6667,91,183.6666667,0.933333333,0.933333333
Irish Hills,2010,1,260000,260000,112,112,0.899965386,0.963319748
Irish Hills,2012,4,255950,241700,86.5,86.25,0.969428457,0.986578947
Irish Hills,2013,2,269950,269950,69.5,69.5,0.957428693,1
Jacksons Ridge,2010,1,210000,210000,89,89,0.933748333,0.933748333
Jacksons Ridge,2011,1,163000,163000,43,43,0.961651917,1.019387117
Jacksons Ridge,2012,1,188500,188500,235,235,0.837777778,0.942971486
Jacksons Ridge,2013,3,163000,158000,22,148.3333333,1.051612903,1.051612903
Jockey Hollow,2010,3,285000,302333.3333,161,109.6666667,0.962857143,0.962857143
Jockey Hollow,2011,2,217500,217500,168.5,168.5,0.856052899,0.928746427
Jockey Hollow,2012,1,280000,280000,107,107,0.903225806,0.954003407
Jockey Hollow,2013,3,295000,294000,84,75,0.992277992,0.992277992
John Char Est,2010,3,182500,183166.6667,186,164,0.902745463,0.961032122
John Char Est,2011,1,218500,218500,19,19,0.993181818,0.993181818
John Char Est,2013,1,168500,168500,116,116,0.910810811,0.962857143
Jonathans Landing,2010,5,284000,322600,68,71,0.95959596,0.976863753
Jonathans Landing,2011,6,253450,261983.3333,73,95.16666667,0.966697854,0.983400941
Jonathans Landing,2012,10,244750,255700,98,184.4,0.971860181,0.976124849
Jonathans Landing,2013,7,265000,260000,39,63.42857143,0.946766702,0.983805668
Kent Acres,2010,1,80000,80000,18,18,1,1
Kent Acres,2011,2,32500,32500,217,217,0.470238095,0.480820106
Kent Acres,2012,4,65950,83475,116,111.75,0.720202535,0.937370565
Kent Acres,2013,1,128000,128000,88,88,0.951672862,0.951672862
Kentbourne,2010,6,211000,222493.6667,85.5,93.5,0.948161379,0.97694645
Kentbourne,2011,3,145500,159166.6667,62,108.3333333,0.970625798,0.970625798
Kentbourne,2012,4,206950,219200,66,215.25,0.959054145,0.998502994
Kentbourne,2013,4,138125,133187.5,17,36.75,0.972703488,0.972703488
Kitts Hummock,2010,2,142500,142500,324,324,0.650299097,0.837668834
Kitts Hummock,2011,2,220000,220000,201,201,0.891805602,0.933789954
Kitts Hummock,2012,3,210000,190000,55,66,0.860344138,0.90681676
Knotts Landing,2011,1,179900,179900,82,82,0.799555556,0.8995
Knotts Landing,2012,5,199900,202360,112,164.8,0.927610209,0.979746835
Knotts Landing,2013,5,199900,199080,97,152.4,0.885167464,0.982532751
Lake Como Gardens,2010,1,225000,225000,49,49,0.726040658,0.762711864
Lake Como Gardens,2012,5,162000,181750,97,180.6,0.944193548,0.978929766
Lake Como Gardens,2013,2,162300,162300,20.5,20.5,0.990116812,0.990116812
Lakeshore Glen,2011,1,242500,242500,326,326,0.945168532,0.970388155
Lakeshore Glen,2012,1,242500,242500,142,142,0.986173241,1.010837849
Lakeshore Village,2010,11,239000,236509.0909,48,130.4545455,0.98,0.983539095
Lakeshore Village,2011,11,214000,216318.1818,63,86.63636364,0.927078702,0.994940978
Lakeshore Village,2012,21,209000,204180.9524,56,114.5714286,0.975048752,0.986956522
Lakeshore Village,2013,15,238900,229086.6667,67,70.6,0.978686385,0.986363636
Lakewind,2012,3,218250,226050,73,104.6666667,0.893571733,0.933303691
Lakewind,2013,4,232450,240725,53,50.25,0.957044329,0.982925147
Lakewind III,2013,2,215250,215250,62.5,62.5,0.884267661,0.934273237
Lakewood,2010,1,208000,208000,106,106,0.991893181,1
Lakewood,2012,1,162000,162000,54,54,0.925714286,0.981818182
Laureltowne,2010,7,305000,297839,30,74.14285714,0.973322218,1
Laureltowne,2011,9,234900,230988.8889,104,138.6666667,0.927272727,1.008333333
Laureltowne,2012,9,244200,291711.7778,65,99,1,1.013602457
Laureltowne,2013,4,293750,295625,118.5,115.25,0.919162346,0.970540177
Leipsic,2010,1,142800,142800,113,113,1.02,1.02
Leipsic,2011,1,48500,48500,747,747,0.718518519,0.85840708
Leipsic,2012,1,61900,61900,5,5,1.033388982,1.033388982
Leipsic,2013,2,86450,86450,151.5,151.5,0.843244865,0.882543952
Lexington Glen,2010,13,195000,195748.8462,163,163.5384615,1,0.983879933
Lexington Glen,2011,9,177900,182429.7778,256,236,0.977981651,1
Lexington Glen,2012,4,154700,167750,86,85,0.964870901,0.995192308
Lexington Glen,2013,1,152000,152000,54,54,0.950594121,0.950594121
Lexington Mill,2012,1,340000,340000,33,33,0.971428571,0.971428571
Lexington Mill,2013,2,314000,314000,127.5,127.5,0.915582656,0.961651032
Liberty Knoll,2010,1,201228,201228,193,193,1.118554753,1.070931346
Liberty Knoll,2011,1,181000,181000,211,211,0.968432317,0.968432317
Liberty Knoll,2012,2,172400,172400,54.5,54.5,0.957628452,0.971162222
Liberty Knoll,2013,4,170571.5,178910.75,74.5,63.75,0.9914334,1.004707736
Lighthouse Estates,2013,1,217500,217500,63,63,0.908141962,0.968819599
Lincoln Park,2010,1,126500,126500,16,16,0.973076923,0.973076923
Lincoln Park,2012,2,35000,35000,181.5,181.5,0.602973169,0.780400572
Lincoln Park,2013,3,115000,93366.66667,35,68,0.920736589,0.959132611
Linkside,2010,3,167211,171070.3333,477,359.3333333,0.880521327,0.989414201
Linkside,2011,21,152900,157266.6667,34,40.95238095,1.006671114,1.000667111
Linkside,2012,19,150900,154838.1579,74,106.5263158,1,1
Linkside,2013,19,159400,159878.9474,28,61.63157895,1,1
Little Creek,2011,1,168000,168000,67,67,0.960548885,0.960548885
Little Creek,2012,1,217000,217000,2,2,0.986363636,0.986363636
Long Farm,2011,2,160000,160000,26.5,26.5,0.933333333,0.969314079
Long Farm,2012,3,170000,169966.6667,10,13.33333333,0.977573318,0.977573318
Longacre Village,2010,14,231787.5,249219.2857,312,288.5714286,1,1
Longacre Village,2011,11,235000,241731.1818,23,97.63636364,0.996793227,1
Longacre Village,2012,3,216207,238374,239,192.6666667,1,1
Longacre Village,2013,4,187450,194700,399.5,701,0.984465508,0.992364402
Lucky Estates,2010,2,290500,290500,264.5,264.5,0.959875153,0.959875153
Lucky Estates,2013,2,213500,213500,130,130,0.849198671,0.987429451
Lynch Hgts,2011,1,80000,80000,18,18,0.950683304,0.950683304
Lynnwood Village,2010,2,220000,220000,148.5,148.5,0.989080893,1.000454987
Lynnwood Village,2011,3,199000,194633.3333,120,120.3333333,0.913659205,1
Lynnwood Village,2012,1,185000,185000,8,8,1.01369863,1.01369863
Lynnwood Village,2013,2,210950,210950,76.5,76.5,0.986883059,0.997953615
Magnolia,2010,2,167750,167750,115,115,0.900126966,1.019303945
Magnolia,2011,2,102750,102750,18.5,18.5,1.025622284,1.025622284
Magnolia,2012,4,124000,133650,63,67.25,0.829739479,1
Magnolia,2013,2,227742.5,227742.5,170.5,170.5,0.889755011,0.938596491
Magnolia Meadows,2010,1,227500,227500,80,80,0.875,1.034561164
Magnolia Meadows,2011,3,259900,261633.3333,27,113.3333333,0.94,0.979166667
Magnolia Meadows,2012,2,228500,228500,52,52,1.025462863,1.051129565
Magnolia Meadows,2013,1,302000,302000,60,60,0.974507906,0.990488685
Mallard Pond,2010,2,188000,188000,154,154,0.912220745,0.939039386
Mallard Pond,2011,1,205000,205000,48,48,0.955710956,1
Mallard Pond,2013,1,162000,162000,19,19,0.95350206,0.95350206
Maple Glen,2010,3,219990,221663.3333,172,125.6666667,0.961538462,0.980392157
Maple Glen,2013,1,223000,223000,36,36,0.957081545,0.957081545
Marsh Creek,2011,1,100000,100000,59,59,0.735294118,0.835561497
Marsh Creek,2013,1,95000,95000,21,21,1,1
Mayfair,2010,7,158000,161428.5714,114,160.4285714,0.982857143,0.99433606
Mayfair,2011,3,133000,130441,70,77.66666667,0.88975468,1.01415011
Mayfair,2012,6,130000,135183.3333,79,182.5,0.962686567,0.988
Mayfair,2013,8,142500,140275,19,23.25,0.996551724,1
Mayfair Ii,2010,1,172000,172000,278,278,0.782173715,0.956086715
Mayfair Ii,2011,2,145500,145500,80,80,0.929585896,0.956971314
Mayfair Ii,2012,3,149000,133079.6667,71,54.33333333,0.931832395,0.974493133
Mayfair Ii,2013,1,139900,139900,33,33,0.933288859,0.933288859
Meadow Ridge,2010,1,251500,251500,159,159,0.940186916,0.940186916
Meadow Ridge,2012,1,230000,230000,98,98,0.92,1.022222222
Meadow Ridge,2013,1,280000,280000,47,47,1,1
Meadowglen,2011,3,185000,169166.6667,18,15.66666667,0.925462731,0.925462731
Meadowglen,2012,1,183000,183000,265,265,0.892682927,0.953125
Meadowglen,2013,2,171150,171150,78,78,0.994142654,0.994142654
MeadowsAtChestnutRid,2010,3,255000,293053.3333,149,218.3333333,0.850283428,0.93773494
MeadowsAtChestnutRid,2011,1,205000,205000,121,121,0.857740586,0.980861244
MeadowsAtChestnutRid,2012,1,217000,217000,266,266,0.904177969,0.943478261
MeadowsAtChestnutRid,2013,4,265000,269500,30.5,40.75,0.977305725,0.99462764
Meyers Ii,2011,1,113495,113495,9,9,0.945791667,0.945791667
Milford,2013,2,47000,47000,20.5,20.5,0.877280819,0.877280819
Milford Meadows,2010,1,159900,159900,94,94,0.941141848,1
Milford Meadows,2011,1,153000,153000,484,484,0.827027027,0.968967701
Milford Meadows,2012,2,154000,154000,184,184,0.88056899,0.96455191
Milford Meadows,2013,2,180950,180950,176,176,0.884,0.983627204
Millcreek,2010,5,178000,165330,48,86.4,0.962162162,0.988888889
Millcreek,2011,4,144500,148000,93,165.25,0.908805031,0.952869387
Millcreek,2012,5,135000,144080,39,50.6,0.937460913,0.937460913
Millcreek,2013,9,147000,154233.3333,27,84.33333333,0.964827586,0.993995997
Millcreek Branch,2010,1,230900,230900,14,14,1.004349717,1.004349717
Millcreek Branch,2011,1,213500,213500,150,150,0.970454545,0.970454545
Millcreek Branch,2012,1,196000,196000,244,244,0.935560859,0.980490245
Millcreek Branch,2013,2,194000,194000,62,62,0.93174494,0.979483633
Mists At Blairs Pond,2010,1,185000,185000,11,11,1,1
Mists At Blairs Pond,2012,1,269900,269900,35,35,0.981811568,0.981811568
Mists At Blairs Pond,2013,2,301500,301500,243,243,0.953726945,0.973993493
Misty Pines,2010,2,180200,180200,373.5,373.5,0.888943149,0.932994934
Misty Pines,2011,2,218950,218950,54.5,54.5,0.974396078,0.974396078
Misty Pines,2012,4,151500,149737.5,106.5,97.5,0.930825959,0.980973104
Misty Pines,2013,1,217000,217000,99,99,0.964444444,1.009302326
Moores Lake,2010,2,189950,189950,84.5,84.5,0.947244579,0.977489768
Moores Lake,2011,1,310000,310000,129,129,0.688888889,0.776942356
Moores Meadows,2010,3,240000,232666.6667,275,217.3333333,0.982857143,0.982857143
Moores Meadows,2011,1,249900,249900,6,6,1.041684035,1
Moores Meadows,2012,2,229000,229000,98,98,1.266997856,0.9657759
Moores Meadows,2013,4,259900,259925,83,80.75,0.979157982,1
Morris Ests,2010,3,80000,100666.6667,83,93.33333333,0.769230769,0.998751561
Morris Ests,2011,2,90000,90000,39,39,0.841079097,0.95401886
Morris Ests,2012,3,82500,84833.33333,244,336.6666667,0.762631077,1.001251564
Morris Ests,2013,4,132940,135470,57.5,52.75,0.972775103,0.984375
Mount Vernon Ests,2010,1,229900,229900,66,66,1,1
Mount Vernon Ests,2011,2,185000,185000,61,61,0.955882353,0.97869055
Mount Vernon Ests,2012,1,185000,185000,5,5,1,1
Mount Vernon Ests,2013,2,212500,212500,152.5,152.5,0.913177397,0.936144871
Mount Vernon Proper,2011,1,179500,179500,106,106,0.906565657,0.997776543
Mulberry Hills,2013,2,128425,128425,58.5,58.5,0.972222222,0.972222222
Newells Creek,2010,13,195000,192692.3077,40,91.38461538,0.930232558,0.968660969
Newells Creek,2011,7,182000,153225,55,80.71428571,0.935467734,0.984315846
Newells Creek,2012,12,166000,155900,29.5,76.83333333,0.951865413,0.97834527
Newells Creek,2013,6,169950,167016.6667,14,35.5,1.006756757,1.006756757
Nobles Pond,2013,3,206500,208800,145,247,0.938636364,0.965404395
Non Development,2010,1,160000,160000,93,93,0.888888889,0.888888889
None,2011,1,150000,150000,87,87,0.9375,1
None Available,2010,228,153250,162184.3333,88.5,167.0877193,0.924032264,0.967099567
None Available,2011,253,134000,140078.1502,86,137.5494071,0.894681411,0.959282264
None Available,2012,273,137000,154240.4945,74,126.7765568,0.915384615,0.966666667
None Available,2013,288,147250,161718.7188,85.5,154.4583333,0.933506237,0.967204301
Normansmeade,2010,1,418000,418000,277,277,0.871014795,0.928888889
Normansmeade,2011,3,250000,246000,370,286,0.916666667,0.968622101
Normansmeade,2012,4,231000,221500,47,71.5,0.942884865,0.97373099
Normansmeade,2013,1,249900,249900,125,125,0.961523663,1.020416497
North Shores,2010,1,285000,285000,465,465,1.059479554,1.187994998
North Shores,2011,1,199900,199900,43,43,0.952358266,1
North Shores,2012,1,285000,285000,5,5,0.991304348,0.991304348
North Shores,2013,5,200000,272580.6,43,60.4,0.97,0.97
Northridge,2010,1,420000,420000,210,210,0.933333333,0.933333333
Northridge,2011,3,315000,301966.6667,52,146.6666667,1,1
Northridge,2012,4,324700,302350,186,184,0.875309977,1.000250125
Northridge,2013,3,322000,342333.3333,205,249.6666667,0.947337452,0.955223881
Northwest Dover Hg,2011,1,65800,65800,35,35,0.886195286,0.950180505
Northwest Dover Hg,2012,3,127000,111633.3333,258,199.6666667,0.948469007,1
Northwest Dover Hg,2013,3,84000,102000,150,116.3333333,0.8113804,1.014695591
Nottingham Meadows,2011,8,242450,236581.25,60.5,91.25,0.973602556,0.989995998
Nottingham Meadows,2012,1,244900,244900,74,74,0.979991997,1
Nottingham Meadows,2013,1,264900,264900,210,210,0.98147462,1
Oak Forest Ests,2013,1,100000,100000,64,64,0.740740741,0.800640512
Oak Shadows,2011,1,229000,229000,175,175,0.916366547,0.916366547
Oak Shadows,2013,1,235625,235625,9,9,1.096440205,1.096440205
Oaknoll,2010,2,179450,179450,25.5,25.5,0.980822679,0.980822679
Oaknoll,2011,1,198500,198500,24,24,1,1
Oaknoll,2012,4,172000,170850,148,142.75,0.907756737,0.97346155
Oaknoll,2013,2,186150,186150,78,78,1.005607492,1.034836739
Oakwood Terrace,2011,1,86000,86000,40,40,0.827718961,0.956618465
Ocean Drive Manor,2013,1,169900,169900,84,84,1,1
Old Country Farms,2010,1,209000,209000,386,386,0.889361702,0.889361702
Old Country Farms,2011,1,220900,220900,212,212,1,1
Old Field Village,2010,1,219900,219900,141,141,0.656613915,1
Old Field Village,2011,2,271854.5,271854.5,223.5,223.5,1,1
Old Field Village,2012,3,242000,239860.6667,114,122.3333333,0.957854406,0.968387355
Old Mill Acres,2010,4,201950,214225,212,274,0.818957222,0.973364258
Old Mill Acres,2011,1,299900,299900,130,130,0.882318329,0.882318329
Old Mill Acres,2012,5,199900,232470,85,97.8,0.868878357,0.964424779
Old Mill Acres,2013,1,260000,260000,242,242,0.899653979,0.981132075
Olde Dover,2010,5,197000,216280,127,201.2,0.905747126,0.942840812
Olde Dover,2011,10,193000,209883.3,174.5,200.3,0.83642552,0.946205307
Olde Dover,2012,5,225000,240308,36,126.6,0.914285714,0.914285714
Olde Dover,2013,10,154250,158540,83.5,135,0.930015508,0.959183673
Olde Field Village,2013,4,229379.5,234814.75,179.5,207.25,1.003043376,1.003043376
Olde Oak,2010,2,117500,117500,302.5,302.5,0.904444444,0.92875
Olde Oak,2013,1,70000,70000,192,192,0.736842105,0.844390832
Orchard Acres,2012,1,65000,65000,49,49,0.764705882,0.868983957
Otter Run,2011,1,229000,229000,47,47,0.928064843,0.996085254
Otter Run,2012,3,250000,239966.6667,241,286,0.931010693,1
Otter Run,2013,1,220000,220000,148,148,0.956521739,0.956521739
Overlook,2010,1,210000,210000,31,31,0.913043478,0.913043478
Paradise Ridge,2010,2,247499.5,247499.5,204,204,0.898962116,0.968945394
Paris Villa,2010,2,79750,79750,922,922,0.805555556,1.000980392
Paris Villa,2011,2,86000,86000,46.5,46.5,0.812328984,0.901489401
Paris Villa,2012,2,66450,66450,104.5,104.5,0.747746841,0.91736227
Paris Woods,2010,1,225000,225000,22,22,0.969827586,0.969827586
Parkers Run,2010,7,229900,233485.7143,26,54,0.991735537,0.991735537
Parkers Run,2011,3,205900,214966.6667,288,252.3333333,0.94037615,0.961810467
Parkers Run,2012,8,224950,216424.875,316,339,0.950546352,1
Parkers Run,2013,4,231500,225250,63.5,89,0.925607741,0.98998013
Parkway Manor,2011,2,104635,104635,218,218,0.849665584,0.999144599
Parkway Manor,2012,2,97500,97500,144,144,0.777569284,0.855703392
Parkway Manor,2013,2,142450,142450,226.5,226.5,0.95620438,1
Patriot Village,2010,2,214800,214800,253.5,253.5,0.931065842,0.974189676
Patriot Village,2012,1,164000,164000,58,58,0.993939394,1
Patriot Village,2013,4,157500,157125,137,147.25,0.961115323,0.941125541
Pennwood,2010,6,431500,454500,289,352.6666667,0.898914813,0.924865758
Pennwood,2011,4,467500,451750,337,423,0.897551621,0.945665616
Pennwood,2012,3,438200,507733.3333,68,99.33333333,0.854271357,0.876573715
Pennwood,2013,4,370000,420625,206.5,262.75,0.896621631,0.959164547
Persimmon Park Pl,2010,5,99000,83400,136,290.6,0.875729775,0.937215651
Persimmon Park Pl,2011,6,71000,68000,95,127.8333333,0.79375,0.840178571
Persimmon Park Pl,2012,10,47550,48792.4,39.5,85.7,0.911538462,0.922373367
Persimmon Park Pl,2013,1,34000,34000,31,31,0.755555556,0.755555556
Pharsalia,2010,3,229000,224500,46,79,0.92526017,1.00050025
Pharsalia,2012,1,217000,217000,121,121,0.964873277,0.964873277
Pharsalia,2013,2,268450,268450,8,8,0.9870451,0.9870451
Pheasent Pt,2010,3,205500,190166.6667,75,94.33333333,0.913333333,0.941176471
Pheasent Pt,2011,2,196450,196450,217,217,0.840421624,0.972093023
Pheasent Pt,2013,1,157000,157000,192,192,0.924072984,0.981863665
Pickering Beach,2011,1,172000,172000,119,119,0.573342889,0.8
Pickering Beach,2013,1,138000,138000,28,28,0.985714286,0.985714286
Pickering Pointe,2010,3,232000,235600,106,121,1,1
Pickering Pointe,2012,8,228900,226837.5,118,103,1,1.005418925
Pickering Pointe,2013,8,241500,247625,39.5,80.125,0.994414246,0.994414246
Pickwick Acres,2011,1,230000,230000,81,81,0.851855007,0.884955752
Pickwick Acres,2012,2,63644.5,63644.5,17.5,17.5,0.77015233,0.799706292
Pickwick Acres,2013,2,95500,95500,21,21,0.954697525,0.954697525
Pine Grove Farms,2013,1,84600,84600,75,75,0.944249121,1.000059105
Pine Ridge,2013,3,110000,119666.6667,287,193,0.960640427,1
Pinehurst Village,2010,15,228020,235720.8667,1,50.53333333,1.031111249,1.048599333
Pinehurst Village,2011,14,230420.5,227507.9286,20,64.57142857,1.016809179,1.013636364
Pinehurst Village,2012,18,231000,234388.6111,49.5,104.1666667,1.006277845,1.016250539
Pinehurst Village,2013,8,234921.5,235500.5,19.5,48.25,1.015765853,1.015765853
Pineview Farms,2010,3,180000,208333.3333,33,89,0.93220339,0.971983991
Pineview Farms,2011,1,180000,180000,317,317,0.95795636,1.028571429
Pineview Farms,2012,1,235000,235000,183,183,0.951417004,0.951417004
Pintail Point,2010,3,299900,301266.6667,19,71.66666667,0.980961601,1
Pintail Point,2011,6,307999.5,301490.8333,92,153,1.019350198,1.00153093
Pintail Point,2012,2,265999.5,265999.5,4,4,0.861253717,0.861253717
Pintail Point,2013,2,309831,309831,88.5,88.5,0.988866942,0.988589793
Plantation Crossin,2010,3,230000,251200,175,177.6666667,0.87652439,0.978992998
Plantation Crossin,2011,3,275000,266666.6667,22,79.33333333,0.952380952,0.957854406
Plantation Crossin,2012,1,284000,284000,51,51,0.950150552,0.966315073
Plantation Crossin,2013,3,251352,250417.3333,78,125.6666667,0.947349947,0.97914006
Planters Run,2010,5,143000,145700,162,160.6,0.953333333,0.953333333
Planters Run,2011,2,155000,155000,122,122,0.910747913,0.939908367
Planters Run,2013,3,156000,157000,12,55.33333333,0.943952802,0.969355847
Planters Woods,2010,2,209750,209750,95.5,95.5,0.92939191,0.965332713
Planters Woods,2011,3,210000,206666.6667,78,64.66666667,0.948081264,0.968188105
Planters Woods,2012,2,205000,205000,106.5,106.5,0.946931118,0.96364201
Planters Woods,2013,6,212450,216966.6667,43.5,100.5,0.970354341,1
Pleasant Hill,2010,2,327500,327500,12.5,12.5,0.971976401,0.971976401
Pleasant Hill,2011,5,258000,274800,103,143.2,0.86,0.964788732
Pleasant Hill,2012,2,271625,271625,19.5,19.5,0.961324687,0.961324687
Pleasant Hill,2013,3,339000,297500,119,141,0.966666667,0.966666667
Pleasant Vly,2010,2,234950,234950,81,81,0.946808511,0.966666667
Pleasant Vly,2011,1,265000,265000,58,58,0.91537133,0.946766702
Pleasant Vly,2012,1,201000,201000,202,202,0.935318753,0.961722488
Pleasanton Acres,2010,1,260000,260000,20,20,0.963319748,0.963319748
Plymouth,2011,2,263500,263500,66.5,66.5,0.95015005,0.95015005
Point Landing,2010,1,319000,319000,44,44,0.997186621,0.997186621
Point Landing,2011,1,280000,280000,34,34,0.982800983,0.982800983
Point Landing,2012,1,300000,300000,44,44,0.909090909,0.952683392
Point Landing,2013,2,262500,262500,122.5,122.5,0.9,0.988888889
Ponds At Willow Grov,2010,2,447500,447500,130,130,1.007142857,1
Ponds At Willow Grov,2011,6,429950,405166.6667,153.5,202.3333333,0.958879751,0.988679245
